item_id,item_name,size_w,size_h,base_price,icon_path,quality,quality_color,item_type,flavor_text,pool_tag,weight,enabled,w_dam_normal,w_dam_confidential,w_valley_confidential,w_aerospace_confidential,w_aerospace_top_secret,w_prison_top_secret
itm_00001,浮尘粉,1,1,922,res://assets/icons/items/itm_00001.png,white,#B2B2B2,magic,遇埃洛德即熔的细粉，用于锁定卷轴上烫红的符文。,rare,50,1,50,30,30,30,10,10
itm_00002,祈铃,1,1,2062,res://assets/icons/items/itm_00002.png,green,#44612b,magic,刻满了埃洛德符文的铃铛，需要与祭鼓一同演奏才能发挥效果。,common,50,1,30,20,20,20,10,10
itm_00003,祭鼓,1,1,2390,res://assets/icons/items/itm_00002.png,green,#44612b,magic,一面绘满无法解读的埃洛德符文的皮鼓，拍打时配合祈铃让人有心神抽离的感觉，似乎是为了让灵魂进入某种状态而制造的乐器。,common,50,1,30,20,20,20,10,10
itm_00004,颂火盆,1,1,2585,res://assets/icons/items/itm_00002.png,green,#44612b,magic,祂获得了一颗火的心脏造福子嗣，这是孩子们对祂的赞颂——神圣的火与慈悲的神。,common,50,1,30,20,20,20,10,10
itm_00005,卜骰,1,1,2399,res://assets/icons/items/itm_00002.png,green,#44612b,magic,注入了埃洛德的石骰子，被祭司用于占卜解读部落的未来。,common,50,1,30,20,20,20,10,10
itm_00006,基础符笺,1,1,2312,res://assets/icons/items/itm_00002.png,green,#44612b,magic,绘有基础符文短语的薄木片，用于快速施展埃洛德魔法，重复使用次数有限。,common,50,1,30,20,20,20,10,10
itm_00007,基础符环,1,1,2346,res://assets/icons/items/itm_00002.png,green,#44612b,magic,基础形态的埃洛德符阵，用于配合其他道具快速施展埃洛德魔法。,common,50,1,30,20,20,20,10,10
itm_00008,阵符环,1,1,2868,res://assets/icons/items/itm_00002.png,green,#44612b,magic,用于绘制巨大埃洛德符文阵的符环，通常伫立在符文阵的边角，作为封锁阵法的坐标。,common,50,1,30,20,20,20,10,10
itm_00009,浮藤汁,1,1,3648,res://assets/icons/items/itm_00002.png,green,#44612b,magic,用于绘制埃洛德符文的墨水，其中含有从世界树的枝杈中提取的浮质。,common,50,1,30,20,20,20,10,10
itm_00010,浮流盘,2,2,5991,res://assets/icons/items/itm_00002.png,green,#44612b,magic,内含细小浮石的垫板，初学者会用它辅助观察埃洛德力量的流向。,uncommon,50,1,30,20,20,20,10,10
itm_00011,茧丝纸,1,1,8368,res://assets/icons/items/itm_00003.png,blue,#29487d,magic,用于绘制埃洛德符文的纸张，其中含有从世界树上剥落的茧丝。,common,50,1,50,30,30,30,40,40
itm_00012,灼蚀剂,1,1,7654,res://assets/icons/items/itm_00003.png,blue,#29487d,magic,只需要一滴，血肉之躯便难以愈合，源源不断的新鲜血肉正是施展塔图恩法术的最好材料。,common,50,1,50,30,30,30,40,40
itm_00013,红枝,1,1,9371,res://assets/icons/items/itm_00003.png,blue,#29487d,magic,相传龙血滴落之处会生长出无根红枝，是塔图恩咒术的一种材料。,uncommon,50,1,50,30,30,30,40,40
itm_00014,泪蚀,1,1,10391,res://assets/icons/items/itm_00003.png,blue,#29487d,magic,龙的眼泪具有强腐蚀性，但也是施咒的原料之一，收集时需要小心。,common,50,1,50,30,30,30,40,40
itm_00015,铭板,1,1,9895,res://assets/icons/items/itm_00003.png,blue,#29487d,magic,刻有塔图恩咒文的金属板，似乎为在此地活动的人佩戴之物，保护他们不受失去理智的同族攻击。,common,50,1,50,30,30,30,40,40
itm_00016,魂铃,1,1,9748,res://assets/icons/items/itm_00003.png,blue,#29487d,magic,风吹不响，但亡灵经过便会发出悦耳铃声。,common,50,1,50,30,30,30,40,40
